"","Field","Description","Type"
"266","sack_player_name","String name of the player who recorded a solo sack.","character"
"267","half_sack_1_player_id","Unique identifier of the first player who recorded half a sack.","character"
"268","half_sack_1_player_name","String name of the first player who recorded half a sack.","character"
"269","half_sack_2_player_id","Unique identifier of the second player who recorded half a sack.","character"
"270","half_sack_2_player_name","String name of the second player who recorded half a sack.","character"
"271","return_team","String abbreviation of the return team. Returns may occur on any of: interception, fumble, kickoff, punt, or blocked kicks.","character"
"272","return_yards","Yards gained by the return team. Returns may occur on any of: interception, fumble, kickoff, punt, or blocked kicks.","numeric"
"273","penalty_team","String abbreviation of the team with the penalty.","character"
"274","penalty_player_id","Unique identifier for the player with the penalty.","character"
"275","penalty_player_name","String name for the player with the penalty.","character"
"276","penalty_yards","Yards gained (or lost) by the posteam from the penalty.","numeric"
"277","replay_or_challenge","Binary indicator for whether or not a replay or challenge.","numeric"
"278","replay_or_challenge_result","String indicating the result of the replay or challenge.","character"
"279","penalty_type","String indicating the penalty type of the first penalty in the given play. Will be `NA` if `desc` is missing the type.","character"
"280","defensive_two_point_attempt","Binary indicator whether or not the defense was able to have an attempt on a two point conversion, this results following a turnover.","numeric"
"281","defensive_two_point_conv","Binary indicator whether or not the defense successfully scored on the two point conversion.","numeric"
"282","defensive_extra_point_attempt","Binary indicator whether or not the defense was able to have an attempt on an extra point attempt, this results following a blocked attempt that the defense recovers the ball.","numeric"
"283","defensive_extra_point_conv","Binary indicator whether or not the defense successfully scored on an extra point attempt.","numeric"
"284","safety_player_name","String name for the player who scored a safety.","character"
"285","safety_player_id","Unique identifier for the player who scored a safety.","character"
"286","season","4 digit number indicating to which season the game belongs to.","numeric"
"287","cp","Numeric value indicating the probability for a complete pass based on comparable game situations.","numeric"
"288","cpoe","For a single pass play this is 1 - cp when the pass was completed or 0 - cp when the pass was incomplete. Analyzed for a whole game or season an indicator for the passer how much over or under expectation his completion percentage was.","numeric"
"289","series","Starts at 1, each new first down increments, numbers shared across both teams NA: kickoffs, extra point/two point conversion attempts, non-plays, no posteam","numeric"
"290","series_success","1: scored touchdown, gained enough yards for first down.","numeric"
"291","series_result","Possible values: First down, Touchdown, Opp touchdown, Field goal, Missed field goal, Safety, Turnover, Punt, Turnover on downs, QB kneel, End of half","character"
"292","order_sequence","Column provided by NFL to fix out-of-order plays. Available 2011 and beyond with source ""nfl"".","numeric"
"293","start_time","Kickoff time in eastern time zone.","character"
"294","time_of_day","Time of day of play in UTC ""HH:MM:SS"" format. Available 2011 and beyond with source ""nfl"".","character"
"295","stadium","Game site name.","character"
"296","weather","String describing the weather including temperature, humidity and wind (direction and speed). Doesn't change during the game!","character"
"297","nfl_api_id","UUID of the game in the new NFL API.","character"
"298","play_clock","Time on the playclock when the ball was snapped.","character"
"299","play_deleted","Binary indicator for deleted plays.","numeric"
"300","play_type_nfl","Play type as listed in the NFL source. Slightly different to the regular play_type variable.","character"
"301","special_teams_play","Binary indicator for whether play is special teams play from NFL source. Available 2011 and beyond with source ""nfl"".","numeric"
"302","st_play_type","Type of special teams play from NFL source. Available 2011 and beyond with source ""nfl"".","character"
"303","end_clock_time","Game time at the end of a given play.","character"
"304","end_yard_line","String indicating the yardline at the end of the given play consisting of team half and yard line number.","character"
"305","fixed_drive","Manually created drive number in a game.","numeric"
"306","fixed_drive_result","Manually created drive result.","character"
"307","drive_real_start_time","Local day time when the drive started (currently not used by the NFL and therefore mostly 'NA').","character"
"308","drive_play_count","Numeric value of how many regular plays happened in a given drive.","numeric"
"309","drive_time_of_possession","Time of possession in a given drive.","character"
"310","drive_first_downs","Number of first downs in a given drive.","numeric"
"311","drive_inside20","Binary indicator if the offense was able to get inside the opponents 20 yard line.","numeric"
"312","drive_ended_with_score","Binary indicator the drive ended with a score.","numeric"
"313","drive_quarter_start","Numeric value indicating in which quarter the given drive has started.","numeric"
"314","drive_quarter_end","Numeric value indicating in which quarter the given drive has ended.","numeric"
"315","drive_yards_penalized","Numeric value of how many yards the offense gained or lost through penalties in the given drive.","numeric"
"316","drive_start_transition","String indicating how the offense got the ball.","character"
"317","drive_end_transition","String indicating how the offense lost the ball.","character"
"318","drive_game_clock_start","Game time at the beginning of a given drive.","character"
"319","drive_game_clock_end","Game time at the end of a given drive.","character"
"320","drive_start_yard_line","String indicating where a given drive started consisting of team half and yard line number.","character"
"321","drive_end_yard_line","String indicating where a given drive ended consisting of team half and yard line number.","character"
"322","drive_play_id_started","Play_id of the first play in the given drive.","numeric"
"323","drive_play_id_ended","Play_id of the last play in the given drive.","numeric"
"324","away_score","Total points scored by the away team.","numeric"
"325","home_score","Total points scored by the home team.","numeric"
"326","location","Either 'Home' o 'Neutral' indicating if the home team played at home or at a neutral site.","character"
"327","result","Equals home_score - away_score and means the game outcome from the perspective of the home team.","numeric"
"328","total","Equals home_score + away_score and means the total points scored in the given game.","numeric"
"329","spread_line","The closing spread line for the game. A positive number means the home team was favored by that many points, a negative number means the away team was favored by that many points. (Source: Pro-Football-Reference)","numeric"
"330","total_line","The closing total line for the game. (Source: Pro-Football-Reference)","numeric"
"331","div_game","Binary indicator for if the given game was a division game.","numeric"
"332","roof","One of 'dome', 'outdoors', 'closed', 'open' indicating indicating the roof status of the stadium the game was played in. (Source: Pro-Football-Reference)","character"
"333","surface","What type of ground the game was played on. (Source: Pro-Football-Reference)","character"
"334","temp","The temperature at the stadium only for 'roof' = 'outdoors' or 'open'.(Source: Pro-Football-Reference)","numeric"
"335","wind","The speed of the wind in miles/hour only for 'roof' = 'outdoors' or 'open'. (Source: Pro-Football-Reference)","numeric"
"336","home_coach","First and last name of the home team coach. (Source: Pro-Football-Reference)","character"
"337","away_coach","First and last name of the away team coach. (Source: Pro-Football-Reference)","character"
"338","stadium_id","ID of the stadium the game was played in. (Source: Pro-Football-Reference)","character"
"339","game_stadium","Name of the stadium the game was played in. (Source: Pro-Football-Reference)","character"
"340","success","Binary indicator wheter epa > 0 in the given play.","numeric"
"341","passer","Name of the dropback player (scrambles included) including plays with penalties.","character"
"342","passer_jersey_number","Jersey number of the passer.","numeric"
"343","rusher","Name of the rusher (no scrambles) including plays with penalties.","character"
"344","rusher_jersey_number","Jersey number of the rusher.","numeric"
"345","receiver","Name of the receiver including plays with penalties.","character"
"346","receiver_jersey_number","Jersey number of the receiver.","numeric"
"347","pass","Binary indicator if the play was a pass play (sacks and scrambles included).","numeric"
"348","rush","Binary indicator if the play was a rushing play.","numeric"
"349","first_down","Binary indicator if the play ended in a first down.","numeric"
"350","aborted_play","Binary indicator if the play description indicates ""Aborted"".","numeric"
"351","special","Binary indicator if ""play_type"" is one of ""extra_point"", ""field_goal"", ""kickoff"", or ""punt"".","numeric"
"352","play","Binary indicator: 1 if the play was a 'normal' play (including penalties), 0 otherwise.","numeric"
"353","passer_id","ID of the player in the 'passer' column.","character"
"354","rusher_id","ID of the player in the 'rusher' column.","character"
"355","receiver_id","ID of the player in the 'receiver' column.","character"
